side_a,side_b,tags
"What are the main arteries supplying the pancreas?","The pancreas receives blood from the splenic artery, the superior pancreaticoduodenal artery (from the gastroduodenal artery), and the inferior pancreaticoduodenal artery (from the superior mesenteric artery).","ES;Anatomy;Pancreas"
"What is the venous drainage of the pancreas?","The venous drainage of the pancreas occurs through the pancreatic veins, which drain into the splenic vein and the superior mesenteric vein, eventually forming the portal vein.","ES;Anatomy;Pancreas"
"Which artery supplies the head of the pancreas?","The head of the pancreas is supplied by the superior pancreaticoduodenal artery (from the gastroduodenal artery) and the inferior pancreaticoduodenal artery (from the superior mesenteric artery).","ES;Anatomy;Pancreas"
"Which artery supplies the body and tail of the pancreas?","The body and tail of the pancreas are primarily supplied by branches of the splenic artery.","ES;Anatomy;Pancreas"
"What is the origin of the superior pancreaticoduodenal artery?","The superior pancreaticoduodenal artery originates from the gastroduodenal artery.","ES;Anatomy;Pancreas"
"What is the origin of the inferior pancreaticoduodenal artery?","The inferior pancreaticoduodenal artery originates from the superior mesenteric artery.","ES;Anatomy;Pancreas"
"What is the significance of the anastomosis between the pancreaticoduodenal arteries?","The anastomosis between the superior and inferior pancreaticoduodenal arteries provides collateral circulation between the celiac trunk and the superior mesenteric artery.","ES;Anatomy;Pancreas"
"Which veins drain the head of the pancreas?","The head of the pancreas is drained by the pancreaticoduodenal veins, which drain into the superior mesenteric vein and portal vein.","ES;Anatomy;Pancreas"
"Which veins drain the body and tail of the pancreas?","The body and tail of the pancreas are drained by the pancreatic veins, which empty into the splenic vein.","ES;Anatomy;Pancreas"
"Which lymph nodes receive lymphatic drainage from the pancreas?","Lymphatic drainage from the pancreas goes to the pancreaticosplenic, pyloric, hepatic, and superior mesenteric lymph nodes.","ES;Anatomy;Pancreas"
"What is the sympathetic innervation of the pancreas?","The pancreas receives sympathetic innervation from the greater and lesser splanchnic nerves via the celiac and superior mesenteric plexuses.","ES;Anatomy;Pancreas"
"What is the parasympathetic innervation of the pancreas?","The pancreas receives parasympathetic innervation from the vagus nerve (CN X).","ES;Anatomy;Pancreas"
"How does sympathetic stimulation affect the pancreas?","Sympathetic stimulation inhibits pancreatic secretion and promotes vasoconstriction.","ES;Anatomy;Pancreas"
